Temperature ,Humidity ,Soil Type,Water Availability,Recommended Crop
26.5,82.1,Clay,1250,Rice
28.3,80.5,Clay,1300,Rice
25.1,85.2,Silty,1400,Rice
29.4,78.9,Clay,1200,Rice
27.6,88.1,Silty,1450,Rice
24.8,81.4,Clay,1350,Rice
30.2,79.5,Clay,1280,Rice
28.9,86.3,Silty,1420,Rice
26.1,83.7,Clay,1320,Rice
29.7,84.1,Silty,1380,Rice
27.4,81.2,Clay,1260,Rice
25.8,85.6,Silty,1410,Rice
28.1,79.8,Clay,1290,Rice
29.5,87.4,Silty,1440,Rice
26.9,82.5,Clay,1310,Rice
27.8,80.1,Clay,1270,Rice
25.5,86.2,Silty,1430,Rice
28.4,78.5,Clay,1240,Rice
29.1,88.7,Silty,1460,Rice
26.3,83.1,Clay,1340,Rice
27.1,81.9,Clay,1250,Rice
25.3,85.8,Silty,1400,Rice
28.7,79.2,Clay,1280,Rice
29.9,87.1,Silty,1420,Rice
26.6,82.8,Clay,1330,Rice
27.5,80.6,Clay,1260,Rice
25.7,86.5,Silty,1450,Rice
28.2,78.2,Clay,1230,Rice
29.3,88.4,Silty,1470,Rice
26.8,83.5,Clay,1350,Rice
27.2,81.5,Clay,1240,Rice
25.9,85.1,Silty,1390,Rice
28.5,79.6,Clay,1270,Rice
29.6,87.8,Silty,1410,Rice
26.4,82.3,Clay,1320,Rice
27.7,80.9,Clay,1250,Rice
25.4,86.8,Silty,1440,Rice
28.6,78.9,Clay,1220,Rice
29.2,88.1,Silty,1480,Rice
26.7,83.9,Clay,1360,Rice
18.4,45.2,Loamy,480,Wheat
21.7,52.8,Clay,550,Wheat
16.2,41.5,Loamy,420,Wheat
23.9,58.4,Silty,590,Wheat
19.5,48.1,Loamy,510,Wheat
24.6,56.7,Clay,570,Wheat
17.8,43.9,Loamy,450,Wheat
22.1,51.3,Silty,530,Wheat
15.5,40.2,Loamy,410,Wheat
20.3,49.6,Clay,520,Wheat
18.7,46.5,Loamy,490,Wheat
21.4,53.2,Clay,560,Wheat
16.8,42.8,Loamy,430,Wheat
23.5,57.1,Silty,580,Wheat
19.1,49.4,Loamy,500,Wheat
24.2,55.8,Clay,560,Wheat
17.4,44.7,Loamy,460,Wheat
22.6,52.1,Silty,540,Wheat
15.9,41.1,Loamy,400,Wheat
20.8,48.9,Clay,510,Wheat
18.1,45.8,Loamy,470,Wheat
21.9,51.9,Clay,540,Wheat
16.5,42.1,Loamy,420,Wheat
23.1,58.8,Silty,600,Wheat
19.8,47.5,Loamy,520,Wheat
24.9,56.2,Clay,580,Wheat
17.2,43.4,Loamy,440,Wheat
22.4,50.8,Silty,520,Wheat
15.2,40.6,Loamy,410,Wheat
20.5,49.1,Clay,530,Wheat
18.9,46.1,Loamy,480,Wheat
21.2,53.6,Clay,570,Wheat
16.1,41.9,Loamy,430,Wheat
23.7,57.5,Silty,590,Wheat
19.4,48.6,Loamy,510,Wheat
24.4,55.3,Clay,550,Wheat
17.6,44.2,Loamy,450,Wheat
22.8,52.6,Silty,540,Wheat
15.7,40.8,Loamy,420,Wheat
20.1,49.8,Clay,520,Wheat
22.4,61.2,Sandy,620,Maize
25.8,68.7,Loamy,680,Maize
19.1,53.4,Silty,520,Maize
27.5,65.9,Loamy,690,Maize
21.3,58.1,Sandy,570,Maize
26.2,63.5,Loamy,650,Maize
18.5,51.8,Silty,510,Maize
24.7,67.3,Loamy,640,Maize
20.8,56.6,Sandy,550,Maize
23.9,62.4,Loamy,610,Maize
22.8,62.5,Sandy,630,Maize
25.4,67.2,Loamy,670,Maize
19.6,54.8,Silty,530,Maize
27.1,66.4,Loamy,700,Maize
21.7,59.5,Sandy,580,Maize
26.6,64.1,Loamy,660,Maize
18.9,52.3,Silty,500,Maize
24.3,68.8,Loamy,650,Maize
20.4,57.9,Sandy,560,Maize
23.5,61.7,Loamy,620,Maize
22.1,60.8,Sandy,610,Maize
25.9,69.1,Loamy,690,Maize
19.3,52.9,Silty,510,Maize
27.8,65.3,Loamy,680,Maize
21.5,58.6,Sandy,570,Maize
26.1,63.9,Loamy,640,Maize
18.2,51.4,Silty,520,Maize
24.9,67.7,Loamy,650,Maize
20.6,56.2,Sandy,540,Maize
23.7,62.9,Loamy,630,Maize
28.4,62.1,Clay,710,Cotton
32.7,71.8,Loamy,780,Cotton
24.2,55.4,Clay,630,Cotton
34.1,68.5,Loamy,790,Cotton
26.5,59.2,Clay,660,Cotton
31.3,74.6,Loamy,750,Cotton
23.8,52.7,Clay,610,Cotton
29.6,66.3,Loamy,730,Cotton
25.1,57.9,Clay,640,Cotton
30.8,70.1,Loamy,760,Cotton
28.8,63.5,Clay,720,Cotton
32.3,70.4,Loamy,770,Cotton
24.6,56.8,Clay,650,Cotton
34.5,69.2,Loamy,800,Cotton
26.1,58.7,Clay,640,Cotton
31.7,75.1,Loamy,760,Cotton
23.4,51.9,Clay,600,Cotton
29.2,67.5,Loamy,740,Cotton
25.5,58.4,Clay,660,Cotton
30.4,69.6,Loamy,750,Cotton
28.1,61.7,Clay,700,Cotton
32.9,72.5,Loamy,790,Cotton
24.9,54.8,Clay,620,Cotton
34.8,67.8,Loamy,780,Cotton
26.9,60.1,Clay,680,Cotton
31.1,73.8,Loamy,740,Cotton
23.1,53.4,Clay,620,Cotton
29.9,65.8,Loamy,720,Cotton
25.8,57.1,Clay,630,Cotton
30.2,71.3,Loamy,770,Cotton
31.2,78.4,Clay,1850,Sugarcane
27.5,69.8,Loamy,1620,Sugarcane
34.1,82.5,Clay,1950,Sugarcane
29.6,74.1,Silty,1740,Sugarcane
26.3,67.2,Loamy,1550,Sugarcane
33.8,80.9,Clay,1910,Sugarcane
30.4,76.5,Loamy,1800,Sugarcane
28.1,72.7,Silty,1680,Sugarcane
32.5,79.1,Clay,1880,Sugarcane
25.9,66.4,Loamy,1520,Sugarcane
31.6,79.2,Clay,1870,Sugarcane
27.1,68.5,Loamy,1600,Sugarcane
34.5,83.1,Clay,1980,Sugarcane
29.2,73.6,Silty,1710,Sugarcane
26.8,68.4,Loamy,1580,Sugarcane
33.4,81.5,Clay,1930,Sugarcane
30.8,77.2,Loamy,1820,Sugarcane
28.5,71.9,Silty,1650,Sugarcane
32.1,78.6,Clay,1860,Sugarcane
25.5,65.8,Loamy,1500,Sugarcane
31.9,77.8,Clay,1840,Sugarcane
27.8,70.4,Loamy,1640,Sugarcane
34.8,81.9,Clay,1920,Sugarcane
29.9,74.8,Silty,1760,Sugarcane
26.1,66.7,Loamy,1530,Sugarcane
33.1,80.2,Clay,1890,Sugarcane
30.2,75.8,Loamy,1780,Sugarcane
28.9,73.5,Silty,1700,Sugarcane
32.8,79.8,Clay,1900,Sugarcane
25.2,67.1,Loamy,1550,Sugarcane
28.5,42.1,Sandy,350,Pearl Millet (Bajra)
31.2,38.5,Sandy,320,Pearl Millet (Bajra)
26.4,45.2,Loamy,400,Pearl Millet (Bajra)
33.8,35.6,Sandy,310,Pearl Millet (Bajra)
29.1,48.9,Loamy,420,Pearl Millet (Bajra)
32.5,40.1,Sandy,340,Pearl Millet (Bajra)
27.8,44.7,Sandy,380,Pearl Millet (Bajra)
34.2,36.5,Loamy,330,Pearl Millet (Bajra)
30.4,47.2,Sandy,410,Pearl Millet (Bajra)
25.6,49.8,Sandy,450,Pearl Millet (Bajra)
28.8,41.5,Sandy,340,Pearl Millet (Bajra)
31.5,39.2,Sandy,330,Pearl Millet (Bajra)
26.1,46.1,Loamy,410,Pearl Millet (Bajra)
33.5,36.8,Sandy,320,Pearl Millet (Bajra)
29.4,47.5,Loamy,400,Pearl Millet (Bajra)
32.2,41.4,Sandy,350,Pearl Millet (Bajra)
27.5,43.8,Sandy,370,Pearl Millet (Bajra)
34.5,35.2,Loamy,310,Pearl Millet (Bajra)
30.1,48.6,Sandy,420,Pearl Millet (Bajra)
25.9,49.1,Sandy,440,Pearl Millet (Bajra)
28.2,43.4,Sandy,360,Pearl Millet (Bajra)
31.8,37.6,Sandy,310,Pearl Millet (Bajra)
26.7,44.5,Loamy,390,Pearl Millet (Bajra)
33.2,35.9,Sandy,300,Pearl Millet (Bajra)
29.7,49.4,Loamy,430,Pearl Millet (Bajra)
32.8,39.5,Sandy,330,Pearl Millet (Bajra)
27.2,45.8,Sandy,390,Pearl Millet (Bajra)
34.8,37.1,Loamy,340,Pearl Millet (Bajra)
30.7,46.3,Sandy,400,Pearl Millet (Bajra)
25.3,48.2,Sandy,430,Pearl Millet (Bajra)
22.4,85.2,Laterite,1800,Tea
25.8,78.7,Laterite,1650,Tea
20.1,88.4,Laterite,1950,Tea
27.5,75.9,Loamy,1550,Tea
21.3,82.1,Laterite,1750,Tea
26.2,79.5,Laterite,1600,Tea
23.5,86.8,Laterite,1850,Tea
28.7,72.3,Loamy,1500,Tea
24.8,84.6,Laterite,1900,Tea
20.8,89.1,Laterite,1980,Tea
22.8,84.5,Laterite,1780,Tea
25.5,79.2,Laterite,1670,Tea
20.5,87.6,Laterite,1920,Tea
27.1,76.5,Loamy,1580,Tea
21.7,81.4,Laterite,1720,Tea
26.6,78.9,Laterite,1630,Tea
23.1,87.4,Laterite,1880,Tea
28.4,73.1,Loamy,1530,Tea
24.5,83.9,Laterite,1870,Tea
20.4,89.6,Laterite,2000,Tea
22.1,86.1,Laterite,1830,Tea
25.2,77.8,Laterite,1620,Tea
20.9,88.9,Laterite,1970,Tea
27.8,75.2,Loamy,1520,Tea
21.9,82.7,Laterite,1780,Tea
26.8,79.1,Laterite,1590,Tea
23.8,85.5,Laterite,1820,Tea
28.1,72.9,Loamy,1480,Tea
24.2,85.1,Laterite,1930,Tea
20.2,88.2,Laterite,1940,Tea
26.4,65.2,Laterite,1100,Cashew
29.8,71.5,Sandy,1250,Cashew
24.1,61.8,Laterite,1050,Cashew
31.5,68.4,Sandy,1300,Cashew
27.2,74.1,Laterite,1400,Cashew
25.6,63.7,Sandy,1150,Cashew
32.8,76.9,Laterite,1450,Cashew
28.4,69.2,Sandy,1200,Cashew
23.5,60.5,Laterite,1000,Cashew
30.1,73.6,Sandy,1350,Cashew
26.8,64.8,Laterite,1080,Cashew
29.5,72.1,Sandy,1270,Cashew
24.4,61.2,Laterite,1030,Cashew
31.1,69.3,Sandy,1320,Cashew
27.6,73.5,Laterite,1380,Cashew
25.2,64.5,Sandy,1170,Cashew
32.5,76.1,Laterite,1420,Cashew
28.1,70.2,Sandy,1220,Cashew
23.8,59.8,Laterite,980,Cashew
30.5,72.8,Sandy,1330,Cashew
26.1,65.9,Laterite,1120,Cashew
29.2,70.8,Sandy,1230,Cashew
24.7,62.4,Laterite,1070,Cashew
31.8,67.6,Sandy,1280,Cashew
27.9,74.8,Laterite,1430,Cashew
25.9,62.9,Sandy,1130,Cashew
32.1,77.5,Laterite,1480,Cashew
28.7,68.5,Sandy,1180,Cashew
23.2,61.1,Laterite,1020,Cashew
30.8,74.2,Sandy,1370,Cashew
22.4,65.8,Loamy,560,Tomato
26.1,74.2,Sandy,650,Tomato
20.8,62.5,Loamy,520,Tomato
24.5,78.1,Silty,610,Tomato
27.2,68.9,Loamy,680,Tomato
21.5,61.4,Sandy,540,Tomato
25.8,71.6,Loamy,640,Tomato
23.1,76.5,Silty,590,Tomato
26.9,64.8,Sandy,670,Tomato
20.4,60.2,Loamy,510,Tomato
22.8,65.2,Loamy,550,Tomato
26.4,73.8,Sandy,640,Tomato
20.5,63.1,Loamy,530,Tomato
24.8,77.5,Silty,620,Tomato
